name,gender,births
Mary,F,2547807
Patricia,F,1483956
Jennifer,F,1461088
Linda,F,1441113
Barbara,F,1303026
Elizabeth,F,1234371
Susan,F,1094569
Jessica,F,1037536
Karen,F,982055
Lisa,F,963202
Nancy,F,923573
Sarah,F,921754
Sandra,F,869955
Ashley,F,831121
Kimberly,F,825188
Michelle,F,802610
Donna,F,798141
Carol,F,785562
Amanda,F,763858
Melissa,F,745721
Emily,F,744999
Deborah,F,736602
Stephanie,F,728368
Sharon,F,719021
Rebecca,F,707923
Cynthia,F,698914
Margaret,F,686131
Laura,F,679241
Amy,F,664551
Betty,F,658028
Kathleen,F,653710
Angela,F,643423
Brenda,F,604729
Pamela,F,592647
Nicole,F,577390
Shirley,F,570674
Debra,F,549978
Samantha,F,549346
Christine,F,538829
Heather,F,523329
Rachel,F,521220
Janet,F,517636
Carolyn,F,517379
Diane,F,514390
Katherine,F,513629
Julie,F,500525
Maria,F,489111
Dorothy,F,476910
Anna,F,476811
Kelly,F,468266
Christina,F,462286
Catherine,F,461635
Lauren,F,456331
Joyce,F,454397
Judith,F,442784
Cheryl,F,438582
Megan,F,433147
Victoria,F,427319
Joan,F,425847
Andrea,F,418937
Emma,F,406396
Jacqueline,F,396042
Teresa,F,392966
Janice,F,389653
Hannah,F,386272
Judy,F,377513
Denise,F,369982
Sara,F,369056
Kathryn,F,367134
Amber,F,365175
Danielle,F,362010
Ann,F,361174
Virginia,F,358780
Helen,F,357811
Brittany,F,355762
Diana,F,347550
Martha,F,345385
Olivia,F,344711
Gloria,F,342773
Beverly,F,342583
Lori,F,340234
Ruth,F,337627
Madison,F,336143
Theresa,F,333786
Tiffany,F,333625
Kathy,F,332726
Marilyn,F,331860
Tammy,F,331500
Kayla,F,326097
Crystal,F,324848
Alexis,F,324081
Julia,F,323534
Natalie,F,310499
Abigail,F,308377
Erin,F,308253
Taylor,F,304305
Jean,F,302858
Shannon,F,293866
Alyssa,F,292458
Robin,F,287990
Tina,F,287222
Bonnie,F,286875
Dawn,F,286611
Frances,F,285002
Evelyn,F,282227
Jane,F,278818
Grace,F,276110
Allison,F,274975
Alice,F,272858
Paula,F,268891
Peggy,F,264703
Jamie,F,263865
Leslie,F,260316
Marie,F,259913
Wendy,F,259399
Courtney,F,255463
Connie,F,255360
Cindy,F,254837
Sophia,F,253389
Rose,F,253171
Isabella,F,251106
Tracy,F,249824
Valerie,F,246576
Doris,F,246048
Vanessa,F,245556
Monica,F,241022
Phyllis,F,239704
Brianna,F,237535
Anne,F,236948
Sheila,F,235111
April,F,234784
Jasmine,F,233271
Wanda,F,231855
Melanie,F,229349
Sherry,F,228755
Charlotte,F,228674
Erica,F,228307
Michele,F,222658
Alexandra,F,218789
Alicia,F,217734
Kristen,F,216456
Suzanne,F,212288
Elaine,F,210832
Rhonda,F,207725
Jill,F,207431
Rita,F,204443
Morgan,F,202474
Joanne,F,201526
Audrey,F,200859
Ellen,F,200166
Katie,F,199913
Gail,F,197885
Holly,F,196840
Darlene,F,194852
Veronica,F,193567
Lois,F,193295
Norma,F,190457
Dana,F,188803
Carrie,F,188040
Debbie,F,187159
Leah,F,186544
Lillian,F,186092
Ava,F,181997
Anita,F,181829
Brooke,F,180777
Lynn,F,179950
Renee,F,179753
Kim,F,179177
Kristin,F,178578
Sylvia,F,174328
Sally,F,174039
Tara,F,172697
Caroline,F,171143
Jo,F,170035
Cathy,F,169762
Chloe,F,169342
Ruby,F,167200
Laurie,F,164871
Cassandra,F,164831
Ella,F,164023
Stacy,F,161618
Mia,F,160019
Sydney,F,157747
Kaitlyn,F,156536
Annie,F,155369
Colleen,F,155148
Chelsea,F,155140
Lindsey,F,154082
Beth,F,153140
Vicki,F,152827
Regina,F,152725
Gina,F,151026
Annette,F,150744
Haley,F,150607
Joann,F,149758
Molly,F,147791
Stacey,F,146785
Irene,F,146733
Carla,F,146295
Dolores,F,145994
Terri,F,145637
Kelsey,F,142625
Eileen,F,141251
Maureen,F,141022
Yvonne,F,140887
Savannah,F,140758
Hailey,F,140347
Shelby,F,140224
Lorraine,F,140211
Jenna,F,140096
Geraldine,F,139254
Heidi,F,138733
Roberta,F,138196
Destiny,F,138135
Claire,F,137558
Madeline,F,136127
Kristina,F,134060
Melinda,F,133591
Louise,F,133061
Deanna,F,132653
Sabrina,F,132443
Juanita,F,131643
Eva,F,130206
Tamara,F,129651
Paige,F,129483
Loretta,F,128747
Lindsay,F,128089
Marlene,F,127380
Sue,F,127224
Jeanette,F,126879
Mildred,F,126228
Gabrielle,F,126020
Katelyn,F,125867
Jordan,F,125588
Marcia,F,125569
Charlene,F,125184
Vivian,F,124899
Marjorie,F,124392
Josephine,F,124247
Jeanne,F,123221
Erika,F,121940
Joy,F,121366
Tonya,F,120191
Rosemary,F,119374
Carmen,F,118640
Eleanor,F,117981
Faith,F,117141
Marissa,F,116963
Lydia,F,116269
Tanya,F,115844
Claudia,F,115336
Constance,F,113867
Rosa,F,111629
Esther,F,111323
Arlene,F,110567
Amelia,F,110132
Mackenzie,F,110099
Caitlin,F,109785
Vickie,F,109539
June,F,108989
Patsy,F,108986
Kaylee,F,108125
Carole,F,108073
Lily,F,107126
Alison,F,107073
Glenda,F,106840
Brandy,F,105815
Clara,F,105496
Miranda,F,105393
Yolanda,F,105320
Naomi,F,104962
Autumn,F,104295
Alexa,F,103710
Marsha,F,103530
Priscilla,F,102887
Brandi,F,101124
Lucy,F,100732
Gwendolyn,F,100558
Katrina,F,99203
Delores,F,98408
Toni,F,97844
Christy,F,97751
Mariah,F,97718
Zoe,F,96856
Kara,F,96062
Penny,F,95304
Terry,F,95287
Edith,F,95087
Gabriella,F,94881
Dianne,F,94712
Jocelyn,F,94349
Bethany,F,94025
Whitney,F,93921
Natasha,F,93688
Meghan,F,93616
Joanna,F,93585
Edna,F,93376
Kylie,F,92951
Ana,F,92858
Sierra,F,92697
Kay,F,92596
Makayla,F,92507
Nina,F,92374
Angelina,F,91076
Alexandria,F,90881
Kendra,F,90765
Addison,F,90462
Angel,F,90262
Briana,F,89849
Georgia,F,89383
Pauline,F,88969
Sofia,F,88157
Felicia,F,88050
Daisy,F,86919
Jackie,F,86511
Isabel,F,86374
Tracey,F,86279
Angelica,F,86033
Jenny,F,85953
Bailey,F,85843
Karla,F,85816
Melody,F,85691
Becky,F,85679
Bridget,F,84778
Misty,F,84186
Shelly,F,83992
Candace,F,83722
Sherri,F,83519
Kristine,F,83485
Gladys,F,82225
Avery,F,81562
Brittney,F,81410
Adriana,F,81026
Desiree,F,80382
Jacquelyn,F,80251
Breanna,F,79530
Florence,F,79267
Jodi,F,79147
Rachael,F,78842
Thelma,F,78600
Sheryl,F,78518
Jillian,F,78388
Bobbie,F,78334
Aubrey,F,78230
Monique,F,77952
Nora,F,77622
Lucille,F,77576
Ariana,F,77294
Lynda,F,77064
Billie,F,76829
Riley,F,76800
Kristi,F,76267
Hope,F,75912
Maya,F,75358
Hazel,F,74874
Casey,F,74689
Kelli,F,74513
Jessie,F,74173
Wilma,F,73761
Marion,F,73365
Krystal,F,73272
Brooklyn,F,73178
Gabriela,F,72955
Krista,F,72851
Miriam,F,72550
Shelley,F,72279
Arianna,F,71136
Marian,F,71047
Ethel,F,70952
Cecilia,F,70884
Belinda,F,70864
Jade,F,70375
Rebekah,F,70315
Bernice,F,70171
Kristy,F,70029
Margie,F,69920
Summer,F,69856
Alma,F,69769
Meredith,F,69544
Stella,F,69141
Beatrice,F,68973
Bianca,F,68298
Sandy,F,67959
Candice,F,67149
Trinity,F,66458
Madelyn,F,65240
Aaliyah,F,64947
Sonya,F,63671
Cheyenne,F,63590
Adrienne,F,63168
Nichole,F,62830
Sophie,F,62665
Sonia,F,62090
Maggie,F,61950
Lynne,F,61346
Sadie,F,61186
Bertha,F,61145
Kate,F,61081
Robyn,F,60750
Lillie,F,60534
Nevaeh,F,60459
Sheri,F,60355
Yvette,F,60324
Jada,F,60128
Marianne,F,60096
Carly,F,59783
Gayle,F,59349
Patty,F,59155
