name,gender,births
Michael,M,4211989
James,M,4133864
Robert,M,3888182
John,M,3878392
David,M,3409095
William,M,2996598
Richard,M,2229833
Joseph,M,2044220
Christopher,M,1977577
Thomas,M,1956512
Daniel,M,1771353
Charles,M,1765632
Matthew,M,1521999
Mark,M,1328055
Anthony,M,1296677
Steven,M,1263399
Andrew,M,1162508
Joshua,M,1160751
Brian,M,1154720
Donald,M,1152336
Kevin,M,1146494
Paul,M,1143339
Kenneth,M,1115624
Timothy,M,1050662
Ronald,M,1047824
Jason,M,1006882
Jeffrey,M,968404
Gary,M,895578
Ryan,M,891013
Edward,M,885802
George,M,878264
Eric,M,858659
Nicholas,M,844321
Jacob,M,832338
Stephen,M,816190
Jonathan,M,802186
Larry,M,792356
Scott,M,764044
Justin,M,755942
Brandon,M,734755
Gregory,M,699216
Patrick,M,638207
Benjamin,M,626486
Samuel,M,604099
Dennis,M,599667
Jerry,M,581849
Alexander,M,574765
Tyler,M,564233
Frank,M,549823
Raymond,M,547990
Aaron,M,532633
Douglas,M,529445
Adam,M,516936
Jose,M,516093
Zachary,M,512870
Peter,M,495208
Nathan,M,491666
Jack,M,468800
Kyle,M,467629
Jeremy,M,425029
Terry,M,418167
Keith,M,417048
Sean,M,409273
Roger,M,405320
Henry,M,386646
Gerald,M,381937
Christian,M,379842
Austin,M,375653
Bryan,M,368107
Carl,M,359460
Bruce,M,358523
Ethan,M,355422
Jesse,M,351763
Walter,M,349387
Lawrence,M,346741
Jordan,M,343987
Billy,M,335726
Alan,M,327061
Randy,M,325281
Joe,M,322986
Dylan,M,321319
Juan,M,318846
Harold,M,313241
Wayne,M,310776
Arthur,M,309457
Willie,M,298229
Shawn,M,298043
Bobby,M,297543
Craig,M,296170
Bradley,M,294044
Noah,M,292249
Gabriel,M,292164
Travis,M,291601
Johnny,M,290620
Phillip,M,286674
Philip,M,283765
Todd,M,280274
Russell,M,279327
Albert,M,278666
Danny,M,277728
Cody,M,276276
Jimmy,M,274873
Vincent,M,274613
Roy,M,271530
Logan,M,266685
Carlos,M,264893
Victor,M,261092
Ralph,M,254082
Luis,M,250857
Martin,M,250257
Joel,M,247525
Cameron,M,244855
Louis,M,244530
Dale,M,244294
Eugene,M,243782
Caleb,M,242290
Chad,M,238303
Rodney,M,237142
Alex,M,236436
Evan,M,235937
Nathaniel,M,233302
Curtis,M,227558
Jeffery,M,227315
Tony,M,226334
Allen,M,225233
Derek,M,222345
Antonio,M,221967
Elijah,M,219362
Ricky,M,218566
Isaac,M,218454
Luke,M,217110
Steve,M,215623
Marcus,M,213257
Howard,M,208754
Harry,M,205505
Mason,M,205457
Stanley,M,204508
Jesus,M,203584
Glenn,M,203099
Dustin,M,202366
Angel,M,201833
Ian,M,200950
Adrian,M,200015
Troy,M,196588
Hunter,M,196106
Jared,M,195223
Leonard,M,193258
Randall,M,192994
Fred,M,192382
Frederick,M,190993
Lucas,M,188540
Marvin,M,186812
Ernest,M,185867
Mike,M,183615
Shane,M,183203
Ronnie,M,179504
Barry,M,178499
Corey,M,178114
Jackson,M,177750
Lee,M,176868
Connor,M,176507
Isaiah,M,174474
Wesley,M,174256
Melvin,M,173459
Eddie,M,172774
Norman,M,170378
Jay,M,170075
Francis,M,167707
Edwin,M,166304
Tommy,M,165078
Jon,M,163750
Earl,M,161748
Miguel,M,161365
Jeremiah,M,161196
Julian,M,157367
Blake,M,156888
Jayden,M,156449
Brett,M,156001
Calvin,M,155723
Theodore,M,154912
Seth,M,153215
Mitchell,M,152393
Clarence,M,151693
Trevor,M,151431
Darrell,M,150696
Dean,M,150461
Manuel,M,150299
Gavin,M,150288
Micheal,M,149162
Erik,M,147632
Devin,M,144899
Aiden,M,144521
Don,M,141852
Alfred,M,141198
Oscar,M,141146
Ray,M,140482
Chase,M,139297
Derrick,M,138622
Chris,M,137972
Brent,M,137414
Marc,M,137105
Jerome,M,133747
Ricardo,M,131954
Mario,M,131599
Dominic,M,131052
Leroy,M,130352
Bill,M,128311
Owen,M,127455
Jim,M,127222
Clifford,M,126085
Cory,M,124158
Bernard,M,122989
Garrett,M,122784
Jorge,M,122144
Landon,M,121450
Alejandro,M,121133
Herbert,M,120158
Francisco,M,120055
Liam,M,118706
Cole,M,118362
Warren,M,116935
Andre,M,115415
Colin,M,114347
Jeff,M,114244
Leon,M,112630
Xavier,M,111342
Gordon,M,109642
Tom,M,108945
Alvin,M,108836
Franklin,M,108816
Wyatt,M,108224
Casey,M,107149
Clayton,M,106412
Max,M,106202
Spencer,M,106162
Jake,M,105916
Carter,M,105708
Edgar,M,105576
Grant,M,104766
Taylor,M,104584
Duane,M,104122
Ivan,M,103706
Gene,M,103592
Sebastian,M,102672
Reginald,M,102357
Leo,M,102236
Roberto,M,101140
Lance,M,100877
Maurice,M,100583
Ruben,M,100543
Levi,M,100173
Aidan,M,99830
Bryce,M,99504
Darren,M,99498
Glen,M,98493
Lloyd,M,97566
Eduardo,M,95836
Gilbert,M,94927
Vernon,M,94656
Hector,M,94413
Tristan,M,94111
Charlie,M,93820
Lewis,M,93461
Colton,M,92839
Preston,M,92673
Neil,M,91413
Diego,M,90734
Darryl,M,90567
Brayden,M,89930
